titulo,precio,proteinas,carbohidratos,grasas,fibra,calorias,texto_busqueda,norm_precio,norm_nutri,score_nutricional,categorias
Natillas sabor vainilla alta en proteínas,1.79,10.0,7.7,1.3,0.0,82.0,natillas sabor vainilla alta en proteínas dia láctea pack 4 x 125 g yogures_y_postres,0.81,31.25,62.81,yogures_y_postres
Queso quark con fresa alto en proteínas,1.29,12.4,3.3,0.4,0.0,67.0,queso quark con fresa alto en proteínas dia láctea 200 g yogures_y_postres,0.8879,38.75,67.74,yogures_y_postres
Petit de fresa y plátano,0.99,6.9,11.2,2.7,0.0,97.0,petit de fresa y plátano dia láctea pack 6 x 50 g yogures_y_postres,0.9346,21.56,56.76,yogures_y_postres
Petit de fresa,0.99,6.9,11.4,2.7,0.0,98.0,petit de fresa dia láctea pack 6 x 50 g yogures_y_postres,0.9346,21.56,56.72,yogures_y_postres
Petit de fresa líquido,1.95,4.4,12.1,2.5,0.0,89.0,petit de fresa líquido dia láctea pack 4 x 80 g yogures_y_postres,0.785,13.75,52.93,yogures_y_postres
Petit de chocolate,1.85,4.2,21.6,6.1,0.5,160.0,petit de chocolate nesquik pack 6 x 60 g yogures_y_postres,0.8006,13.12,49.93,yogures_y_postres
Copa de chocolate y nata,1.39,0.0,19.0,3.0,0.0,118.0,copa de chocolate y nata dia caprichoso pack 4 x 115 g yogures_y_postres,0.8723,0.0,44.7,yogures_y_postres
Mousse de chocolate con leche,1.0,4.8,21.2,6.0,0.0,159.0,mousse de chocolate con leche dia caprichoso pack 4 x 60 g yogures_y_postres,0.933,15.0,49.96,yogures_y_postres
Tiramisú,1.0,0.0,27.0,9.8,0.0,213.0,tiramisú dia caprichoso pack 2 x 90 g yogures_y_postres,0.933,0.0,39.7,yogures_y_postres
Postre de torrija,1.99,3.8,31.0,5.2,0.0,186.0,postre de torrija dia caprichoso pack 2 x 85 g yogures_y_postres,0.7788,11.88,46.9,yogures_y_postres
Arroz con leche,1.3,2.6,22.0,3.9,0.0,136.0,arroz con leche dia caprichoso pack 4 x 125 g yogures_y_postres,0.8863,8.12,47.55,yogures_y_postres
Natillas sabor vainilla,1.05,0.0,20.0,2.7,0.0,114.0,natillas sabor vainilla dia caprichoso pack 4 x 125 g yogures_y_postres,0.9252,0.0,44.65,yogures_y_postres
Natillas de chocolate,1.05,3.5,21.1,3.1,0.0,126.0,natillas de chocolate dia caprichoso pack 4 x 125 g yogures_y_postres,0.9252,10.94,49.48,yogures_y_postres
Flan de vainilla,1.15,2.4,18.7,1.6,0.0,99.0,flan de vainilla dia caprichoso pack 6 x 100 g yogures_y_postres,0.9097,7.5,49.06,yogures_y_postres
Azúcar blanco,1.0,0.5,100.0,0.0,0.0,400.0,azúcar blanco dia paquete 1 kg azucar_y_chocolates,0.933,1.56,30.75,azucar_y_chocolates
Azúcar blanco,1.07,0.0,100.0,0.0,0.0,400.0,azúcar blanco azucarera paquete 1 kg azucar_y_chocolates,0.9221,0.0,30.0,azucar_y_chocolates
Edulcorante líquido,1.13,0.0,0.0,0.0,0.0,0.0,edulcorante líquido dia botella 200 ml azucar_y_chocolates,0.9128,0.0,50.0,azucar_y_chocolates
Azúcar moreno de caña integral,1.89,0.5,100.0,0.0,0.0,402.0,azúcar moreno de caña integral dia bolsa 1 kg azucar_y_chocolates,0.7944,1.56,30.75,azucar_y_chocolates
Miel de flores Mielove de,4.89,0.2,82.5,0.0,0.0,330.0,miel de flores mielove de dia frasco 1 kg azucar_y_chocolates,0.3271,0.62,33.8,azucar_y_chocolates
Miel de flores antigoteo Mielove de,3.19,0.2,82.5,0.0,0.0,330.0,miel de flores antigoteo mielove de dia frasco 500 g azucar_y_chocolates,0.5919,0.62,33.8,azucar_y_chocolates
Miel de eucalipto Mielove de,3.19,0.0,83.0,0.0,0.0,335.0,miel de eucalipto mielove de dia frasco 350 g azucar_y_chocolates,0.5919,0.0,33.4,azucar_y_chocolates
Miel de montaña Mielove de,4.99,0.0,83.0,0.0,0.0,331.0,miel de montaña mielove de dia frasco 500 g azucar_y_chocolates,0.3115,0.0,33.4,azucar_y_chocolates
Mermelada de fresa extra,1.5,0.5,48.0,0.0,0.0,197.0,mermelada de fresa extra dia fruticampo frasco 390 g azucar_y_chocolates,0.8551,1.56,41.15,azucar_y_chocolates
Mermelada de melocotón extra,1.5,0.5,48.0,0.0,0.0,197.0,mermelada de melocotón extra dia fruticampo frasco 390 g azucar_y_chocolates,0.8551,1.56,41.15,azucar_y_chocolates
Mermelada de fresa 0% sin azúcares añadidos,1.6,0.5,3.6,0.0,0.0,19.0,mermelada de fresa 0% sin azúcares añadidos dia fruticampo frasco 330 g azucar_y_chocolates,0.8396,1.56,50.03,azucar_y_chocolates
Melocotón en almíbar,2.05,0.5,14.2,0.5,0.0,58.0,melocotón en almíbar dia fruticampo 480 g azucar_y_chocolates,0.7695,1.56,47.66,azucar_y_chocolates
Crema al cacao duo,1.89,4.2,60.0,31.0,0.0,539.0,crema al cacao duo dia temptation bote 400 g azucar_y_chocolates,0.7944,13.12,28.8,azucar_y_chocolates
Crema al cacao,1.89,4.5,57.0,32.0,0.0,540.0,crema al cacao dia temptation bote 400 g azucar_y_chocolates,0.7944,14.06,29.35,azucar_y_chocolates
Crema de avellanas y cacao,2.33,6.2,56.5,30.7,0.0,533.0,crema de avellanas y cacao dia temptation frasco 380 g azucar_y_chocolates,0.7259,19.38,32.65,azucar_y_chocolates
Crema de cacao con avellanas,3.99,6.3,57.5,30.9,0.0,539.0,crema de cacao con avellanas nutella bote 350 g azucar_y_chocolates,0.4673,19.69,32.5,azucar_y_chocolates
Perlitas de chocolate,3.79,4.2,60.0,26.0,0.0,504.0,perlitas de chocolate dr. oetker bolsa 100 g azucar_y_chocolates,0.4984,13.12,31.3,azucar_y_chocolates
Sirope de chocolate Delimagic de,1.79,1.7,75.0,0.9,0.0,320.0,sirope de chocolate delimagic de dia botella 295 g azucar_y_chocolates,0.81,5.31,37.1,azucar_y_chocolates
Fideos de chocolate negro,1.79,6.0,59.0,25.0,0.0,501.0,fideos de chocolate negro dekora bolsa 100 g azucar_y_chocolates,0.81,18.75,34.7,azucar_y_chocolates
Preparado para crepes Delimagic de,1.99,9.4,74.1,2.0,0.0,357.0,preparado para crepes delimagic de dia frasco 200 g azucar_y_chocolates,0.7788,29.38,48.28,azucar_y_chocolates
Mini barritas de chocolate con leche,0.85,9.1,50.6,34.9,0.0,555.0,mini barritas de chocolate con leche dia temptation caja 50 g azucar_y_chocolates,0.9564,28.44,36.08,azucar_y_chocolates
Chocolate negro 85% cacao,1.95,11.0,22.0,43.0,0.0,542.0,chocolate negro 85% cacao dia temptation 100 g azucar_y_chocolates,0.785,34.38,40.6,azucar_y_chocolates
Chocolate con leche,1.0,5.6,58.0,32.0,0.0,546.0,chocolate con leche dia temptation 100 g azucar_y_chocolates,0.933,17.5,30.8,azucar_y_chocolates
Chocolate blanco,1.15,6.0,59.0,31.0,0.0,539.0,chocolate blanco dia temptation 100 g azucar_y_chocolates,0.9097,18.75,31.7,azucar_y_chocolates
Golosinas surtidas mix brillo,1.15,6.0,75.0,0.0,0.0,322.0,golosinas surtidas mix brillo dia marcelo caramelo bolsa 200 g azucar_y_chocolates,0.9097,18.75,44.0,azucar_y_chocolates
Golosinas surtidas mix pica,1.15,4.6,76.0,0.0,0.0,315.0,golosinas surtidas mix pica dia marcelo caramelo bolsa 200 g azucar_y_chocolates,0.9097,14.37,41.7,azucar_y_chocolates
Golosinas fruta tropical con 8% zumo,0.95,4.3,78.0,0.2,0.0,336.0,golosinas fruta tropical con 8% zumo dia marcelo caramelo bolsa 100 g azucar_y_chocolates,0.9408,13.44,40.75,azucar_y_chocolates
Regaliz rojo torcidas,1.15,3.5,75.0,3.5,0.0,346.0,regaliz rojo torcidas dia marcelo caramelo bolsa 225 g azucar_y_chocolates,0.9097,10.94,38.5,azucar_y_chocolates
Pechuga de pavo,3.95,0.0,0.5,0.5,0.0,74.0,pechuga de pavo dia nuestra alacena 2 x 200 g charcuteria_y_quesos,0.4735,0.0,49.65,charcuteria_y_quesos
Jamón cocido extra 97%,1.99,20.0,0.5,2.0,0.0,100.0,jamón cocido extra 97% dia nuestra alacena 150 g charcuteria_y_quesos,0.7788,62.5,78.9,charcuteria_y_quesos
Jamón cocido extra,3.45,18.5,0.3,2.5,0.0,98.0,jamón cocido extra dia nuestra alacena 2 x 225 g charcuteria_y_quesos,0.5514,57.81,76.44,charcuteria_y_quesos
Lacón cortado a mano,2.99,19.5,1.0,3.1,0.0,110.0,lacón cortado a mano dia nuestra alacena 170 g charcuteria_y_quesos,0.6231,60.94,77.5,charcuteria_y_quesos
Jamón Serrano,3.69,27.0,0.5,16.0,0.0,254.0,jamón serrano dia nuestra alacena 200 g charcuteria_y_quesos,0.514,84.38,82.4,charcuteria_y_quesos
Mini taquitos de jamón curado,2.21,32.0,0.5,16.0,0.0,274.0,mini taquitos de jamón curado dia nuestra alacena 2 x 75 g charcuteria_y_quesos,0.7445,100.0,89.9,charcuteria_y_quesos
Jamón serrano lonchas extrafinas,2.45,27.0,0.5,16.0,0.0,254.0,jamón serrano lonchas extrafinas dia nuestra alacena 120 g charcuteria_y_quesos,0.7072,84.38,82.4,charcuteria_y_quesos
Jamón curado gran reserva 50% Duroc,2.29,29.6,0.0,23.9,0.0,334.0,jamón curado gran reserva 50% duroc dia nuestra alacena 90 g charcuteria_y_quesos,0.7321,92.5,82.45,charcuteria_y_quesos
Chorizo extra,1.66,18.5,1.7,20.0,0.0,261.0,chorizo extra dia nuestra alacena 2 x 100 g charcuteria_y_quesos,0.8302,57.81,67.41,charcuteria_y_quesos
Salchichón extra,1.63,19.0,5.0,19.5,0.0,272.0,salchichón extra dia nuestra alacena 2 x 100 g charcuteria_y_quesos,0.8349,59.38,67.75,charcuteria_y_quesos
Espetec extra,2.25,28.5,4.0,37.0,0.0,463.0,espetec extra dia nuestra alacena 170 g charcuteria_y_quesos,0.7383,89.06,73.45,charcuteria_y_quesos
Pepperoni,1.19,20.0,1.0,40.0,0.0,444.0,pepperoni dia nuestra alacena 75 g charcuteria_y_quesos,0.9034,62.5,59.8,charcuteria_y_quesos
Bacon en tiras,1.99,15.0,1.0,25.0,0.0,289.0,bacon en tiras dia nuestra alacena 2 x 100 g charcuteria_y_quesos,0.7788,46.88,59.8,charcuteria_y_quesos
Bacon en lonchas,2.19,15.0,1.0,25.0,0.0,289.0,bacon en lonchas dia nuestra alacena 200 g charcuteria_y_quesos,0.7477,46.88,59.8,charcuteria_y_quesos
Salchichas frankfurt,0.99,13.0,2.8,15.0,0.0,198.0,salchichas frankfurt dia funky frank 2 x 160 g charcuteria_y_quesos,0.9346,40.62,61.44,charcuteria_y_quesos
Salchichas frankfurt con queso,0.99,13.0,2.2,18.0,0.0,223.0,salchichas frankfurt con queso dia funky frank 2 x 140 g charcuteria_y_quesos,0.9346,40.62,60.06,charcuteria_y_quesos
Mortadela con aceitunas,1.25,0.0,6.3,21.0,0.0,254.0,mortadela con aceitunas dia nuestra alacena 250 g charcuteria_y_quesos,0.8941,0.0,38.24,charcuteria_y_quesos
Mortadela,1.25,0.0,4.5,24.0,0.0,282.0,mortadela dia nuestra alacena 250 g charcuteria_y_quesos,0.8941,0.0,37.1,charcuteria_y_quesos
Chopped pork,1.4,0.0,5.0,12.0,0.0,176.0,chopped pork dia nuestra alacena 250 g charcuteria_y_quesos,0.8707,0.0,43.0,charcuteria_y_quesos
Mortadela Bologna I.G.P.,1.89,15.0,0.0,25.0,0.0,285.0,mortadela bologna i.g.p. dia selección mundial 150 g charcuteria_y_quesos,0.7944,46.88,60.0,charcuteria_y_quesos
Paté clásico,1.0,7.4,2.8,19.0,0.0,214.0,paté clásico la piara 2 x 75 g charcuteria_y_quesos,0.933,23.12,51.04,charcuteria_y_quesos
Paté a la pimienta,0.86,11.3,1.3,26.5,0.0,289.0,paté a la pimienta dia nuestra alacena 125 g charcuteria_y_quesos,0.9548,35.31,53.44,charcuteria_y_quesos
Paté de atún,1.55,8.5,5.7,13.9,0.0,183.0,paté de atún dia nuestra alacena 2 x 75 g charcuteria_y_quesos,0.8474,26.56,54.66,charcuteria_y_quesos
Paté de sardinas,1.49,6.5,6.9,33.2,0.0,352.0,paté de sardinas dia nuestra alacena 110 g charcuteria_y_quesos,0.8567,20.31,41.77,charcuteria_y_quesos
Queso semicurado,2.46,22.0,1.0,32.0,0.0,380.0,queso semicurado dia el cencerro 250 g charcuteria_y_quesos,0.7056,68.75,66.8,charcuteria_y_quesos
Queso curado,2.99,23.0,1.0,34.0,0.0,402.0,queso curado dia el cencerro 250 g charcuteria_y_quesos,0.6231,71.88,67.3,charcuteria_y_quesos
Queso tierno mezcla,2.24,22.5,1.6,32.0,0.0,384.0,queso tierno mezcla dia el cencerro 250 g charcuteria_y_quesos,0.7399,70.31,67.43,charcuteria_y_quesos
Queso de oveja curado,2.99,24.0,1.0,36.0,0.0,424.0,queso de oveja curado dia el cencerro 200 g charcuteria_y_quesos,0.6231,75.0,67.8,charcuteria_y_quesos
Queso mozzarella rallado,1.65,24.5,1.8,22.5,0.0,304.0,queso mozzarella rallado dia láctea 200 g charcuteria_y_quesos,0.8318,76.56,75.14,charcuteria_y_quesos
Queso gouda,1.8,23.1,0.0,27.9,0.0,344.0,queso gouda dia selección mundial 240 g charcuteria_y_quesos,0.8084,72.19,70.7,charcuteria_y_quesos
Queso rallado 4 quesos,2.09,26.0,1.9,30.0,0.0,370.0,queso rallado 4 quesos dia láctea 200 g charcuteria_y_quesos,0.7632,81.25,73.62,charcuteria_y_quesos
Queso tex-mex picante rallado,1.39,21.5,0.0,29.1,0.0,352.0,queso tex-mex picante rallado dia láctea 150 g charcuteria_y_quesos,0.8723,67.19,67.7,charcuteria_y_quesos
Queso de untar natural,1.21,4.5,3.0,25.0,0.0,252.0,queso de untar natural dia láctea 250 g charcuteria_y_quesos,0.9003,14.06,43.65,charcuteria_y_quesos
Queso de untar natural light,1.21,7.8,3.3,16.0,0.0,190.0,queso de untar natural light dia láctea 250 g charcuteria_y_quesos,0.9003,24.38,53.04,charcuteria_y_quesos
Queso fresco de Burgos,1.0,11.0,3.6,12.0,0.0,166.0,queso fresco de burgos dia láctea 4 x 62.5 g charcuteria_y_quesos,0.933,34.38,59.78,charcuteria_y_quesos
Queso fresco de vaca,1.7,13.3,2.3,14.0,1.0,190.0,queso fresco de vaca dia el cencerro 250 g charcuteria_y_quesos,0.824,41.56,64.49,charcuteria_y_quesos
Mozzarella fior di latte 100% natural,1.19,18.2,0.5,17.5,0.0,232.0,mozzarella fior di latte 100% natural dia selección mundial 125 g charcuteria_y_quesos,0.9034,56.88,68.45,charcuteria_y_quesos
Queso fresco de Burgos,1.09,11.0,3.6,12.0,0.0,166.0,queso fresco de burgos dia láctea 250 g charcuteria_y_quesos,0.919,34.38,59.78,charcuteria_y_quesos
Queso azul,1.36,0.0,0.0,32.0,0.0,368.0,queso azul dia láctea 100 g charcuteria_y_quesos,0.8769,0.0,34.0,charcuteria_y_quesos
Medallones de queso de cabra,1.45,15.1,2.7,24.1,0.0,298.0,medallones de queso de cabra dia láctea 100 g charcuteria_y_quesos,0.8629,47.19,60.06,charcuteria_y_quesos
Galletas rellenas de crema de chocolate Galleteca de,1.3,0.0,67.0,20.0,4.0,480.0,galletas rellenas de crema de chocolate galleteca de dia paquete 500 g galletas,0.8863,0.0,34.6,galletas
Galletas dorada maría Galleteca de,1.39,5.7,74.0,15.0,2.0,458.0,galletas dorada maría galleteca de dia paquete 800 g galletas,0.8723,17.81,40.25,galletas
Galletas digestive con chocolate Galleteca de,1.4,6.0,63.0,20.0,3.6,463.0,galletas digestive con chocolate galleteca de dia paquete 300 g galletas,0.8707,18.75,43.6,galletas
Galletas pretzel rosa Galleteca de,1.59,8.2,65.4,20.6,0.0,484.0,galletas pretzel rosa galleteca de dia 100 g galletas,0.8411,25.62,38.92,galletas
Mini galletas con pepitas de chocolate Galleteca de,1.4,5.9,62.0,23.7,0.0,492.0,mini galletas con pepitas de chocolate galleteca de dia caja 160 g galletas,0.8707,18.44,34.6,galletas
Galletas rellenas de caramelo salado Galleteca de,1.45,5.0,65.8,22.9,0.0,493.0,galletas rellenas de caramelo salado galleteca de dia bolsa 120 g galletas,0.8629,15.62,32.89,galletas
Galletas cubiertas de chocolate con leche Galleteca de,1.4,5.8,66.0,22.0,2.8,491.0,galletas cubiertas de chocolate con leche galleteca de dia caja 150 g galletas,0.8707,18.12,40.1,galletas
Barquillos rellenos de cacao Galleteca de,1.15,5.9,60.0,28.0,5.9,521.0,barquillos rellenos de cacao galleteca de dia bolsa 210 g galletas,0.9097,18.44,44.65,galletas
Galletas relieve Galleteca de,1.59,6.5,70.0,18.0,0.0,474.0,galletas relieve galleteca de dia caja 735 g galletas,0.8411,20.31,36.75,galletas
Roscos de galleta con chocolate blanco chocoaros Galleteca de,1.0,6.4,64.0,25.0,2.0,511.0,roscos de galleta con chocolate blanco chocoaros galleteca de dia bolsa 128 g galletas,0.933,20.0,38.3,galletas
Galletas hookies tuestis,1.25,7.5,71.0,15.0,4.5,458.0,galletas hookies tuestis gullón caja 400 + 200 g gratis galletas,0.8941,23.44,48.55,galletas
Galletas de cacao rellenas de crema Galleteca de,0.83,4.4,64.2,20.1,0.0,461.0,galletas de cacao rellenas de crema galleteca de dia caja 220 g galletas,0.9595,13.75,33.71,galletas
Galletas de desayuno,2.95,7.5,73.0,15.0,2.9,463.0,galletas de desayuno cuétara tostarica caja 570 g galletas,0.6293,23.44,44.95,galletas
Galletas con pepitas de chocolate Galleteca de,1.5,5.4,63.0,25.0,0.0,506.0,galletas con pepitas de chocolate galleteca de dia bolsa 225 g galletas,0.8551,16.88,33.0,galletas
Galletas de cereales con vitaminas,3.49,5.7,71.0,18.0,2.5,474.0,galletas de cereales con vitaminas artiach dinosaurus caja 411 g galletas,0.5452,17.81,40.35,galletas
Galleta con tres chocolates,0.89,0.0,0.0,0.0,0.0,0.0,galleta con tres chocolates el molino de dia 76 g galletas,0.9502,0.0,50.0,galletas
Galletas digestive Galleteca de,0.89,6.0,70.0,17.0,3.6,464.0,galletas digestive galleteca de dia paquete 400 g galletas,0.9502,18.75,43.7,galletas
Galletas digestive con avena y trigo Galleteca de,1.0,7.5,61.0,21.0,6.8,477.0,galletas digestive con avena y trigo galleteca de dia caja 425 g galletas,0.933,23.44,52.15,galletas
Galleta con chips de chocolate con leche,0.89,0.0,0.0,0.0,0.0,0.0,galleta con chips de chocolate con leche el molino de dia 76 g galletas,0.9502,0.0,50.0,galletas
Galletas tostadas Galleteca de,1.39,7.6,76.0,9.7,4.6,431.0,galletas tostadas galleteca de dia paquete 800 g galletas,0.8723,23.75,50.55,galletas
Atún en aceite de girasol Dia,3.73,18.0,0.0,34.0,0.0,378.0,atún en aceite de girasol dia mari marinera 6 x 52 g conservas_y_caldos,0.5078,56.25,60.0,conservas_y_caldos
Atún claro al natural Dia,4.2,23.0,0.0,0.9,0.0,100.0,atún claro al natural dia mari marinera 6 x 60 g conservas_y_caldos,0.4346,71.88,84.05,conservas_y_caldos
Atún claro en aceite de oliva Dia,4.9,18.0,0.6,25.0,0.0,306.0,atún claro en aceite de oliva dia mari marinera 6 x 60 g conservas_y_caldos,0.3255,56.25,64.38,conservas_y_caldos
Atún en aceite de girasol Dia,6.5,14.8,0.0,33.8,0.0,363.0,atún en aceite de girasol dia mari marinera 650 g conservas_y_caldos,0.0763,46.25,55.3,conservas_y_caldos
Sardinillas en aceite de oliva Dia,2.05,17.0,0.0,22.0,0.0,267.0,sardinillas en aceite de oliva dia mari marinera 2 x 65 g conservas_y_caldos,0.7695,53.12,64.5,conservas_y_caldos
Filetes de caballa del sur en aceite de oliva Dia,1.65,18.6,0.4,24.9,0.0,301.0,filetes de caballa del sur en aceite de oliva dia mari marinera 85 g conservas_y_caldos,0.8318,58.13,65.37,conservas_y_caldos
Sardinas en aceite de oliva Dia,1.25,20.0,0.5,25.0,0.0,308.0,sardinas en aceite de oliva dia mari marinera 85 g conservas_y_caldos,0.8941,62.5,67.4,conservas_y_caldos
Sardinillas en tomate Dia,1.09,18.0,1.0,8.7,0.0,155.0,sardinillas en tomate dia mari marinera 62 g conservas_y_caldos,0.919,56.25,72.45,conservas_y_caldos
Mejillones en escabeche Dia,2.39,12.0,5.2,17.0,0.0,222.0,mejillones en escabeche dia mari marinera 3 x 43 g conservas_y_caldos,0.7165,37.5,58.46,conservas_y_caldos
Mejillones en escabeche picantes 14/18 piezas Dia,1.99,12.0,5.2,17.0,0.0,222.0,mejillones en escabeche picantes 14/18 piezas dia mari marinera 69 g conservas_y_caldos,0.7788,37.5,58.46,conservas_y_caldos
Trozos de potón en salsa americana Dia,2.45,10.5,2.6,12.3,0.0,163.0,trozos de potón en salsa americana dia mari marinera 3 x 51 g conservas_y_caldos,0.7072,32.81,59.08,conservas_y_caldos
Potón del Pacífico en su tinta Dia,2.69,9.0,3.8,15.6,0.0,192.0,potón del pacífico en su tinta dia mari marinera 3 x 51 g conservas_y_caldos,0.6698,28.12,54.94,conservas_y_caldos
Pimientos del piquillo en tiras con ajo Dia,1.0,0.9,9.1,0.0,0.0,40.0,pimientos del piquillo en tiras con ajo dia vegecampo 225 g conservas_y_caldos,0.933,2.81,49.53,conservas_y_caldos
Champiñones laminados Dia,1.0,2.4,1.0,0.0,2.3,22.0,champiñones laminados dia vegecampo 185 g conservas_y_caldos,0.933,7.5,58.0,conservas_y_caldos
Maíz dulce Dia,1.6,2.4,12.6,1.2,0.0,77.0,maíz dulce dia vegecampo 3 x 140 g conservas_y_caldos,0.8396,7.5,50.48,conservas_y_caldos
Cebolla caramelizada Dia,1.88,0.9,16.0,4.0,0.0,105.0,cebolla caramelizada dia vegecampo 210 g conservas_y_caldos,0.796,2.81,46.15,conservas_y_caldos
Piña en su jugo en rodajas,2.48,0.4,15.0,0.0,0.0,66.0,piña en su jugo en rodajas dia fruticampo 3 x 137 g conservas_y_caldos,0.7025,1.25,47.6,conservas_y_caldos
Piña en su jugo en rodajas,2.1,0.4,15.0,0.0,0.0,66.0,piña en su jugo en rodajas dia fruticampo 490 g conservas_y_caldos,0.7617,1.25,47.6,conservas_y_caldos
Melocotón en almíbar,2.45,0.5,14.2,0.5,0.0,58.0,melocotón en almíbar dia fruticampo 3 x 115 g conservas_y_caldos,0.7072,1.56,47.66,conservas_y_caldos
Puré de patatas,2.0,0.0,13.8,0.8,0.0,75.0,puré de patatas dia patatas unidas 500 g conservas_y_caldos,0.7773,0.0,46.84,conservas_y_caldos
Crema de calabaza,1.0,0.0,5.1,1.1,0.0,36.0,crema de calabaza dia al punto 500 ml conservas_y_caldos,0.933,0.0,48.43,conservas_y_caldos
